condition,substrate,Group,treatment method ,treatment,treat No.,Cultivar,samples,fresh weight (A),dry weight(B),A-B,Vase_life,petals,petal size,L,a,b
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_AG,4,AG,5,2,0.67,1.33,8,10,50.62,75.56,-11.91,25.37
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_AG,4,AG,6,2.71,0.46,2.25,10,10,51.19,74.17,-13.16,27.16
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_KP,1,CP,1,3.16,0.54,2.62,5,10,50.01,77.88,13.1,1.43
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_KP,1,CP,2,3.09,0.84,2.25,3,9,52.66,72.88,20.03,1.96
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_KP,1,CP,3,3.01,0.61,2.4,7,11,53.09,68.62,15.5,2.08
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_KP,1,CP,4,3.39,0.43,2.96,7,11,54.12,82.93,10.97,3.08
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_KP,1,CP,5,4.41,0.5,3.91,9,12,45.99,76.75,9.94,1.57
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_KP,1,CP,6,2.44,0.72,1.72,7,12,50.36,78.04,10.28,1.63
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_KP,2,CP,1,2.96,0.72,2.24,6,10,55.63,75.69,15.9,2.9
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_KP,2,CP,2,2.7,0.65,2.05,7,13,40.32,78.81,15.17,3.69
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_KP,2,CP,3,2.75,0.33,2.42,7,12,55.49,74.39,8.83,1.43
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_KP,2,CP,4,2.42,0.56,1.86,7,13,53.24,71.41,8.44,3.59
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_KP,2,CP,5,3.82,0.78,3.04,7,12,56.62,75.76,19.32,1.14
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_KP,2,CP,6,3.16,0.56,2.6,6,10,54.28,83.83,7.33,2.83
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_KP,3,CP,1,2.41,0.32,2.09,10,13,57.55,78.38,10.17,2.65
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_KP,3,CP,2,2.46,0.51,1.95,8,10,55.69,80.21,8.45,3.97
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_KP,3,CP,3,2.38,0.35,2.03,8,12,56.66,75.67,14.97,1.57
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_KP,3,CP,4,2.62,0.67,1.95,8,10,59.12,75.37,16.31,1.44
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_KP,3,CP,5,3.54,0.96,2.58,8,12,58.77,75.32,15.74,3.68
