Cultivar,L_1,a_1,b_1,C_1,h_1,L_6,a_6,b_6,C_6,h_6,L_9,a_9,b_9,C_9,h_9,L_11,a_11,b_11,C_11,h_11,L_14,a_14,b_14,C_14,h_14,Vase_life
AG,85.47,-6.65,12.96,14.56654043,-1.096710043,79.86,-7.4,15.97,17.60116189,-1.136880676,83.06,-12.18,23.19,26.19405467,-1.087171867,81.75,-8.5,16.89,18.90825481,-1.104547021,85.39,-8.6,17.88,19.84072579,-1.122476643,13
AG,85.32,-5.12,9.37,10.67760741,-1.070702165,86.26,-7.71,15.89,17.66171566,-1.119049903,85.28,-10.44,20.73,23.21048255,-1.104258552,85.67,-7.91,14.61,16.61385566,-1.074572043,81.67,-7.59,23.16,24.37198597,-1.254106064,11
AG,84.92,-4.93,9.04,10.29691701,-1.071527112,86.03,-7.51,15.52,17.24153415,-1.120118159,84.97,-10.24,20.31,22.74541053,-1.103806221,85.88,-7.76,14.36,16.32259783,-1.075361183,81.96,-7.66,23.25,24.47934027,-1.25253368,11
AG,84.33,-4.78,8.78,9.996839501,-1.072247944,85.92,-7.53,15.4,17.14237148,-1.116018822,84.95,-10.36,20.46,22.93340795,-1.102078558,86.28,-7.65,14.25,16.17358958,-1.078111239,82.09,-7.75,23.32,24.57406967,-1.249946557,11
AG,70.29,-7.23,14.5,16.20255844,-1.108252775,82.92,-8.2,16.52,18.44316676,-1.110058506,81.4,-9.3,17.96,20.2250241,-1.092996633,77.52,-5.65,21.8,22.52026865,-1.317201829,82.08,-4.57,17.89,18.46447941,-1.320694892,9
AG,65.26,-6.3,12.82,14.28434108,-1.114036524,81.73,-7.95,16.27,18.1084345,-1.116286522,81.15,-11.14,21.49,24.20577824,-1.092552563,73.65,-3.89,21.44,21.79003671,-1.391312255,72.61,-4.49,20.74,21.22045475,-1.357596556,9
AG,62.4,-5.55,11.68,12.9315467,-1.127208289,79.88,-7.8,16.22,17.998011,-1.122555053,81.4,-11.52,22.03,24.86023532,-1.088978713,73.66,-3.83,21.42,21.75971737,-1.393861267,73.23,-4.42,21.03,21.48946951,-1.363635631,9
AG,68.44,-3.06,6.39,7.084892377,-1.124192522,83.52,-7.18,14.87,16.51270117,-1.12096149,83.73,-10.64,20.92,23.47032169,-1.100289069,85.51,-9.49,21.56,23.55618178,-1.156149568,74.48,-8.11,23.21,24.5860977,-1.234639771,9
AG,66.29,-2.7,5.85,6.443019478,-1.138388551,84.35,-7.59,15.56,17.31247238,-1.116964987,83.63,-10.61,20.92,23.45673677,-1.101429047,85.43,-9.5,21.63,23.62428623,-1.15695586,74.23,-8.06,23.5,24.84378393,-1.240390184,9
AG,66.7,-2.72,6.01,6.596855311,-1.145799744,85.21,-7.8,16.15,17.93495191,-1.120863569,83.32,-10.61,20.99,23.51918791,-1.102775291,85.44,-9.57,21.71,23.72570336,-1.155610461,73.95,-8.12,23.41,24.77826669,-1.236921287,9
AG,78.96,-6.3,11.3,12.93754227,-1.062196322,61.06,-6.87,14.61,16.14462759,-1.131250451,82.09,-9.8,18.81,21.20981141,-1.090490622,84.03,-10.08,22.31,24.48147259,-1.146433797,81.31,-5.59,19.68,20.45850679,-1.294040913,10
AG,80.2,-8.1,14.94,16.99451676,-1.073985525,76.87,-8.83,17.55,19.64615484,-1.104644739,80.65,-8.88,17.51,19.63299519,-1.101454019,84.43,-10.26,22.74,24.94744877,-1.146955451,78.2,-4.83,20.9,21.45084847,-1.343683002,10
AG,77.28,-8.95,17.11,19.30944329,-1.088851015,78.7,-9.34,18.2,20.45667617,-1.096655006,81.29,-9.3,17.96,20.2250241,-1.092996633,84.45,-10.5,22.95,25.2379179,-1.141709419,78.01,-4.84,20.84,21.39465354,-1.342596134,10
AG,80.17,-9.58,18.03,20.41708353,-1.082394792,83.96,-6.12,11.9,13.38149468,-1.095785571,84.33,-7.88,14.7,16.67886087,-1.0787229,88.14,-4.43,8.08,9.214732769,-1.069284356,88.33,-3.19,7.67,8.306924822,-1.176653415,11
AG,83.96,-9.72,18.09,20.53598062,-1.07774543,84.82,-6.26,12.18,13.69452445,-1.09604532,84.42,-7.91,14.65,16.64904201,-1.075715914,88.18,-4.37,7.93,9.054380155,-1.067130549,89.18,-3.49,8.25,8.957823396,-1.170595213,11
AG,83.98,-9.06,17.14,19.38719165,-1.084540665,85.78,-6.48,12.72,14.27546146,-1.099630062,84.58,-7.62,14.18,16.09772655,-1.077696425,88.23,-4.31,7.92,9.016789894,-1.072423228,89.29,-3.53,8.3,9.019473377,-1.168670584,11
AG,83.93,-4.02,6.93,8.011572879,-1.04514775,83.72,-10.88,22.08,24.61505231,-1.112962606,81,-5.81,10.78,12.24599935,-1.076467811,80.93,-8.3,20.2,21.83872707,-1.180936481,86.74,-4.08,13.56,14.16050847,-1.278527844,9
AG,87.28,-4.82,8.42,9.701999794,-1.050883145,83.85,-10.9,22.09,24.63286626,-1.112413738,82.26,-6.6,11.97,13.66897582,-1.066895424,81.46,-8.28,20.17,21.80337818,-1.181262003,86.65,-4.13,13.53,14.14629987,-1.274532203,9
AG,86.44,-4.71,8.24,9.491137972,-1.051519528,83.98,-11.05,22.32,24.90551947,-1.111099137,82.41,-6.61,12.22,13.89318178,-1.074953727,83.18,-8.72,21.12,22.8493501,-1.179237084,86.74,-4.03,13.54,14.12701313,-1.281509168,9
AG,69.91,-6.62,13.03,14.61524204,-1.100722858,83.36,-8.3,17.13,19.03488639,-1.119601082,77.89,-10.84,22.39,24.87604671,-1.119913217,79.26,-6.86,25.26,26.17493457,-1.30561652,79.61,-3.25,18.84,19.11826613,-1.399972244,8
AG,71.67,-6.79,13.43,15.048887,-1.102691095,84.54,-8.38,17.24,19.1687767,-1.118347503,78.66,-11.04,22.56,25.11643287,-1.115695518,79.33,-6.97,25.3,26.24253989,-1.30197084,79.49,-3.29,18.94,19.22362349,-1.398806056,8
AG,75.07,-7.73,15.31,17.15077258,-1.103237395,85.05,-8.45,17.39,19.33428561,-1.118482954,78.41,-10.85,22.33,24.82642544,-1.118497537,79.43,-6.97,25.19,26.13650704,-1.300853019,79.48,-3.33,19.09,19.37826102,-1.398097101,8
AG,79.12,-10.57,22.08,24.47960988,-1.124322253,83.53,-10.29,21.79,24.0974729,-1.129606423,78.87,-12.65,24.44,27.51974019,-1.093172706,80.01,-8.25,23.76,25.1515427,-1.236598283,76.35,-3.76,24.62,24.90546125,-1.419245966,10
AG,77.24,-9.73,20.71,22.881805,-1.131581782,83.76,-10.41,22.05,24.3838184,-1.129709556,80,-13.37,25.45,28.7482069,-1.087079839,80.09,-8.37,23.85,25.27606378,-1.233281313,76.62,-3.71,24.97,25.24410822,-1.42329709,10
AG,76.3,-9.43,20.06,22.16593107,-1.131361946,82.94,-10.56,22.32,24.692023,-1.128884425,79.77,-13.29,25.33,28.60477233,-1.087604686,80.04,-8.39,23.95,25.37704869,-1.233842557,77.13,-3.87,24.84,25.1396599,-1.41624172,10
AG,81.93,-10.18,18.43,21.05462657,-1.066142805,84.1,-8.57,17.02,19.05584687,-1.104332485,81.77,-10.16,19.54,22.02356011,-1.091309263,83.84,-12.46,24.52,27.50421786,-1.100644744,83.71,-8.47,17.96,19.85705164,-1.130122823,11
AG,80.12,-9.25,17.01,19.36240171,-1.072727375,83.6,-8.32,16.56,18.53256593,-1.105218218,81.93,-10.01,19.46,21.88359431,-1.095704296,83.76,-12.43,24.47,27.44605254,-1.100793907,85.05,-9.49,19.85,22.00187719,-1.124833396,11
AG,80.31,-9.37,17.3,19.67452414,-1.074410817,83.55,-8.24,16.45,18.39837221,-1.106419501,82.62,-10.34,19.96,22.47926155,-1.09282419,83.78,-12.33,24.47,27.40090874,-1.104047699,85.06,-9.56,20.06,22.2215481,-1.126067555,11
AG,85.72,-7.27,14.48,16.20257078,-1.105492633,82.03,-7.41,14.85,16.59610195,-1.107957125,84.47,-5.89,10.95,12.43360768,-1.077290735,82.76,-9.49,20.45,22.54468008,-1.136312901,83.58,-6.14,16.13,17.25909905,-1.207075202,12
AG,85.35,-7.05,14.27,15.91651344,-1.111925304,82.24,-7.56,15.03,16.82422361,-1.104756378,84.02,-5.77,10.9,12.33300045,-1.083939248,83.64,-9.64,20.63,22.77117696,-1.133665095,83.75,-6.13,16.28,17.39584146,-1.210680034,12
AG,85.89,-7.28,14.52,16.24280764,-1.106047397,83.02,-7.95,15.58,17.49110917,-1.09896685,83.51,-5.9,11.05,12.52647197,-1.080369407,84.2,-9.72,20.81,22.96811921,-1.133827233,84.08,-6.19,16.54,17.66034258,-1.212688391,12
