Cultivar,SPAD_1,SPAD_6,SPAD_9,SPAD_11,SPAD_14,Vase_life
BP,90.6,93.1,86.6,72.9,52,13
BP,84.8,85.8,90.7,76.1,52.9,13
BP,72.4,95.4,65.8,57.2,52.2,13
BP,73.4,88.2,67.2,55.9,50.1,13
BP,72.9,85.1,62.7,56.2,48,13
BP,76.7,96.8,83.2,57.7,52.1,10
BP,70.7,88.9,86.2,56.4,52.2,10
BP,67.8,91.9,80.9,54.3,51.9,10
BP,67.3,81.5,74.1,72.4,42.1,13
BP,65.9,88.1,76.5,72.6,41.4,13
BP,55.7,73.7,77.1,73.2,43.4,13
BP,58.5,65.7,59.9,37.9,57.4,13
BP,53.5,66.4,57.4,37.6,44.3,13
BP,54.9,62.1,47.5,37.7,44.1,13
BP,59.5,57.9,67.6,54.2,38.1,13
BP,58.2,58.1,67.3,54.9,36.4,13
BP,57.5,59.2,62.6,54.4,35.5,13
BP,66.9,89.7,84.4,80.2,82.4,11
BP,62.2,87.6,84.7,81.4,72.7,11
BP,58.6,81.6,84,80.9,70.3,11
BP,46.1,60.6,68,48.8,51.7,12
BP,45.5,65.5,59,48.7,49.9,12
BP,46.6,61.1,58.9,43.9,50.1,12
BP,47.4,49.9,54,39.6,34.7,14
BP,45.7,57.7,54.2,38.8,32.1,14
BP,49.8,48.9,51.2,40.9,33,14
BP,49.7,57.8,54.3,31.6,40,14
BP,40.2,50.7,54.9,32.5,38.8,14
BP,45.9,52.1,55.4,33,36,14
BP,22.2,49.8,40.5,30.5,41.9,15
BP,21.4,47.8,43.5,30.7,41.4,15
BP,20.6,43.9,44.6,30.6,39.8,15
BP,16.5,18.7,18.5,20.7,24.7,15
BP,15.9,19.7,17.6,16.7,21.9,15
BP,17,20,19,19.4,22.1,15
KW,79.8,16.7,56.7,20.9,3.7,11
KW,79.6,16.4,55.3,15.9,3.5,11
KW,75.2,15.9,57.1,16.2,3.9,11
KW,28.4,20.7,15,15.6,9.6,13
KW,28.6,17.4,16.1,15.7,12.6,13
KW,26.8,14.6,15.2,15,9.3,13
KW,15.9,14.2,20.7,20,6.6,12
KW,15.6,10.9,24.6,20.2,5.4,12
KW,15.4,10.1,25.1,20,8.9,12
KW,9.8,10.8,8.9,8.7,9.9,13
KW,9.5,11.1,9.2,8.9,7.3,13
KW,9.5,12.4,9.4,8.7,8.4,13
KW,14.8,17.6,10.8,17.7,14,10
KW,14.2,17.8,10.2,16.2,18.2,10
KW,12.8,18.8,11.2,15.9,10.1,10
KW,20.4,65.7,16.7,17.5,16.6,12
KW,20.9,66.4,15.5,12.5,19.7,12
KW,20.4,60.4,17.4,16.1,15.2,12
KW,18.9,18.9,13.1,12.7,6.8,10
KW,19.2,17.7,13.7,10.8,7.2,10
KW,19.8,18.1,13.4,10.9,8.1,10
KW,34.5,28.9,35.4,22.9,25.6,12
KW,36.5,26.9,34.7,29.1,25.4,12
KW,30.2,27.7,31.9,25.6,20.6,12
KW,49.5,48.6,46.8,43.2,33.2,11
KW,48.5,48.2,47.7,45.7,34.2,11
KW,47.5,45.9,43.6,42.9,39,11
KW,41.7,29.2,30.3,27.2,32,11
KW,40.9,27.8,32.9,37.8,31.6,11
KW,42.1,27.4,32.4,36.2,29.4,11
KW,27.4,26.7,22.9,25.1,15.9,11
KW,27.9,25.5,21.2,25.9,20.8,11
KW,26.8,24.9,24.1,24.5,22.4,11
KW,32.4,48.7,43.7,33.4,10.6,8
KW,33.1,43.3,40.4,30.5,15.4,8
KW,31.3,45.6,38.9,31.8,5.4,8
KW,79.5,63.3,66.6,56.4,36.7,14
KW,73.5,60.6,56.5,53.3,35.4,14
KW,74.3,60.1,55,54.2,30.4,14
KW,59.9,45.8,29.4,32.1,29.4,10
KW,58.8,45.7,33.4,30.3,24,10
KW,53,40.6,28.9,31.9,26.4,10
KW,40.3,30.7,33.3,22.6,14.9,12
KW,39.4,35.8,34.7,20.1,9.3,12
KW,40.3,33.5,31.1,19.4,10.3,12
KW,37.6,28.8,17.9,13.6,11.2,12
KW,36.4,28.4,17.5,10.1,10.6,12
KW,35,27.5,17.6,11.9,11.2,12
KW,41,21.6,23.9,21.5,9,12
KW,39.9,21.5,20.1,24.5,9.2,12
KW,36.5,20.9,23.1,26.1,8.5,12
KW,56.2,40.5,35.7,8.6,27.7,10
KW,51,40.1,35.3,8.4,27.4,10
KW,49.6,38.5,33.7,8.1,27.1,10
KW,56.4,29.4,44.7,40.2,21.3,11
KW,58.4,35.6,47.2,39.9,25.1,11
KW,55.2,30.1,43.6,41,24.3,11
KW,46.4,43.1,21.6,19.1,22.4,12
KW,43.9,47.1,21.4,17.4,19.9,12
KW,49.8,40.7,22.7,17.7,21.2,12
KW,52.4,21.5,23.8,26.7,27.4,11
KW,55.6,22,26.8,28.2,26.2,11
KW,50.6,22.4,22.8,30.3,26,11
KW,32.5,29.4,24.7,22.2,12.2,12
KW,35.4,27.2,21.9,22.1,13.4,12
KW,30.6,27.6,24.2,21.8,12.1,12
KW,70.2,50.9,21.8,5.9,4.8,12
KW,66.9,50.2,29.4,6.8,4.5,12
KW,64.5,50.4,25.5,8.2,3.9,12
KW,44,40.9,39.4,35.5,25.9,10
KW,44.9,39.8,38.4,35.7,25,10
KW,43.5,39.4,37.1,35.9,15.2,10
KW,18.4,20.8,19.7,23,16.7,13
KW,19.2,22.1,18.4,21,15.4,13
KW,20.3,23.1,19,19.5,10.4,13
KW,26.5,27.6,17.9,12.5,9.4,12
KW,28.4,20.2,21,12.7,4,12
KW,24.5,28.1,19.5,10.5,6.4,12
KW,41.6,43.7,31.2,21.4,14.9,11
KW,39.8,44.1,32,20.7,19.3,11
KW,39.8,37.2,36,22,11.8,11
KW,54.6,54.2,23.9,27.9,22.2,13
KW,50.4,55.1,34.2,26.1,20.6,13
KW,48.5,53.4,36.6,24.9,21.2,13
KW,79.5,62.2,62,49.5,8,13
KW,69.6,60.1,59.4,43.7,7.2,13
KW,66.2,55.4,60.3,31.4,7.5,13
KW,57.8,45.6,25.6,33,30.3,15
KW,56.8,45.9,27.7,31.8,29.4,15
KW,57,46.1,34.6,31,30.1,15
KW,49.6,40.5,41.4,46.2,32.1,10
KW,48,40.8,42.4,44.1,35.1,10
KW,46.6,37.6,45.8,45.6,34.3,10
KW,41.2,40.5,34.1,39.6,22.1,10
KW,40.5,40.1,35.5,37.2,18.9,10
KW,40.3,36.5,34.1,38,20.2,10
KW,58.7,43.1,31.2,24.2,25.7,13
KW,57.6,36.2,38.2,23.5,22.2,13
KW,51.7,34.9,34.4,24.3,22.1,13
KW,43.6,43.8,40.4,39.3,20.2,12
KW,48.8,41.2,41.1,38.2,19.4,12
