condition,substrate,group,treatment method ,treatment,treat No.,cultivar,number,samples,L_1,a_1,b_1,L_6,a_6,b_6,L_9,a_9,b_9,L_11,a_11,b_11,L_14,a_14,b_14
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,3,8,80.31,-9.37,17.3,83.55,-8.24,16.45,82.62,-10.34,19.96,83.78,-12.33,24.47,85.06,-9.56,20.06
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,1,9,85.72,-7.27,14.48,82.03,-7.41,14.85,84.47,-5.89,10.95,82.76,-9.49,20.45,83.58,-6.14,16.13
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,2,9,85.35,-7.05,14.27,82.24,-7.56,15.03,84.02,-5.77,10.9,83.64,-9.64,20.63,83.75,-6.13,16.28
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,3,9,85.89,-7.28,14.52,83.02,-7.95,15.58,83.51,-5.9,11.05,84.2,-9.72,20.81,84.08,-6.19,16.54
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,1,10,77.77,-6.15,11.33,86.08,-9.48,19.67,82.21,-8.68,16.72,79.81,-11.54,24.98,69.61,-2.16,17.62
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,2,10,81,-6.19,11.27,85.99,-9.36,19.54,83.4,-8.86,16.82,79.39,-11.53,24.99,71.67,-2.6,18.91
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,3,10,82.54,-6.15,11.23,86.24,-9.44,19.67,83.71,-8.81,16.77,80.36,-11.82,25.41,72.96,-2.83,19.64
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,1,11,86.33,-6.67,12.18,81.96,-6.28,13.52,82.51,-7.76,15.7,86.86,-9.84,20.74,86.67,-6.82,17.78
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,2,11,86.65,-6.89,12.43,82.97,-6.34,13.79,83.06,-7.73,15.78,87.12,-9.83,20.9,87.24,-6.8,17.81
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,3,11,86.61,-6.94,12.4,83.15,-6.43,13.84,83.29,-7.82,15.86,87.27,-9.89,21.03,87.4,-6.82,17.84
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,1,12,83.69,-12.92,24.23,82.68,-12.09,23.93,84.12,-11.22,21.55,85.92,-8.31,17.86,81.47,-6.21,21.93
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,2,12,84.45,-12.41,23.05,82.6,-12.06,23.83,84.25,-11.23,21.55,85.36,-8.27,17.75,81.43,-6.22,22.55
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,3,12,84.99,-12.4,22.99,82.65,-12.05,23.82,84.35,-11.31,21.68,85.21,-8,17.44,81.41,-6.38,22.62
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,1,1,63.2,-3.67,8.06,75.11,-5.79,12.4,83.35,-11.16,20.6,79.33,-8.85,19.08,78.27,-5.55,22.8
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,2,1,56.57,-2.82,7.57,76.11,-5.8,12.23,83.96,-11.29,20.93,80.78,-8.55,18.02,78.47,-7.01,22.35
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,3,1,55.92,-2.34,7.18,76.7,-5.81,12.14,84.04,-11.28,20.9,81.82,-8.92,18.68,78.51,-6.99,22.38
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,1,2,85.94,-7.22,13.1,86.28,-11.02,21.13,85.34,-7.09,13.64,86.21,-9.18,17.27,89.3,-4.99,10.59
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,2,2,86.49,-7.57,13.7,83.34,-10.2,19.89,86.74,-7.33,14.21,85.31,-8.89,16.7,89.46,-5.22,11
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,3,2,86.24,-7.31,13.13,85.54,-10.62,20.6,86.83,-7.57,14.49,86.14,-9.26,17.46,89.55,-5.25,11.11
